query_id,workload_file,workload_row_number,table_name,column_name,predicate_value,expected_matching_rows,expected_matching_percent,query_ngram_count,query_fingerprint_width,query_fingerprint_ones,metadata_version,merge_step,metadata_file,partition_file_count,metadata_total_size_bytes,ground_truth_partition_count,metadata_partition_count,pruned_partition_count,false_positive_partition_count,false_negative_partition_count
57,title.title_queries.txt,58,title,title,cov,2669,0.10556450%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
58,title.title_queries.txt,59,title,title,d,798058,31.56485434%,0,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
59,title.title_queries.txt,60,title,title,da,117428,4.64452172%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
60,title.title_queries.txt,61,title,title,dak,992,0.03923566%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,154,155,0,1,0
61,title.title_queries.txt,62,title,title,de,243530,9.63211819%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
62,title.title_queries.txt,63,title,title,der,54389,2.15119811%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
63,title.title_queries.txt,64,title,title,des,22764,0.90036356%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
64,title.title_queries.txt,65,title,title,di,108536,4.29282462%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
65,title.title_queries.txt,66,title,title,die,25578,1.01166312%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
66,title.title_queries.txt,67,title,title,divi,1358,0.05371173%,3,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,154,155,0,1,0
67,title.title_queries.txt,68,title,title,do,89858,3.55407086%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
68,title.title_queries.txt,69,title,title,dr.,1942,0.07681014%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
69,title.title_queries.txt,70,title,title,ea,133235,5.26972146%,1,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
70,title.title_queries.txt,71,title,title,edu,1873,0.07408105%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
71,title.title_queries.txt,72,title,title,eri,30217,1.19514522%,2,8,0,0,concatenated_block_infix_fingerprint_distribution_entropy_8bit,block_infix_fingerprint_v000.json,155,155,155,155,0,0,0
