configuration,ngram_size,min_block_frequency,max_block_frequency,fingerprint_width,selected_aliases,query_count,zero_bit_query_count
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,256,256,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,512,513,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,800,802,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p25,3,0.0,0.25,1024,1026,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,32,32,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,64,64,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,128,128,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,256,256,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,512,512,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,800,800,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_0p5,3,0.0,0.5,1024,1024,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1,3,0.0,1,32,32,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1,3,0.0,1,64,64,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1,3,0.0,1,128,128,190,189
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1,3,0.0,1,256,256,190,189
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1,3,0.0,1,512,512,190,189
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1,3,0.0,1,800,800,190,189
fingerprint_internal_entropy_equivalence_classes/ngram_3/min_block_frequency_0/max_block_frequency_1,3,0.0,1,1024,1024,190,189
fingerprint_internal_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,32,14349,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,64,29800,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,128,65889,190,190
fingerprint_internal_entropy_equivalence_classes/ngram_4/min_block_frequency_0/max_block_frequency_0p01,4,0.0,0.01,256,79179,190,190
